Model_ID,Num_Variables,Num_Significant,Variables,Significant_Variables,Adjusted_R2,AIC,AICc,BIC,VIFs,P_Values
1,2,2,"X1, X2","X1, X2",0.8340840831742333,24.60754574400685,26.10754574400685,27.59474256466882,"X1: 1.03, X2: 1.03","X1: 0.000011, X2: 0.000004"
2,2,1,"X1, X3",X1,0.4033780282517714,50.20359703986836,51.70359703986836,53.190793860530334,"X1: 1.15, X3: 1.15","X1: 0.002969, X3: 0.735568"
3,2,1,"X1, X4",X1,0.45674459035621573,48.32951458661665,49.82951458661665,51.31671140727862,"X1: 1.00, X4: 1.00","X1: 0.000824, X4: 0.197427"
4,2,1,"X1, X5",X1,0.4218702522361988,49.57388945796291,51.07388945796291,52.561086278624884,"X1: 1.11, X5: 1.11","X1: 0.001023, X5: 0.425941"
5,2,1,"X2, X3",X2,0.5217525779884573,45.78048740321605,47.28048740321605,48.76768422387802,"X2: 1.01, X3: 1.01","X2: 0.000409, X3: 0.179125"
6,2,1,"X2, X4",X2,0.4984577970924985,46.73167819066428,48.23167819066428,49.718875011326254,"X2: 1.00, X4: 1.00","X2: 0.000405, X4: 0.312651"
7,2,1,"X2, X5",X2,0.541886849174495,44.92024720244922,46.42024720244922,47.90744402311119,"X2: 1.06, X5: 1.06","X2: 0.000130, X5: 0.112742"
8,2,0,"X3, X4",,0.010677787774658776,60.318324537216796,61.818324537216796,63.30552135787877,"X3: 1.03, X4: 1.03","X3: 0.259156, X4: 0.494763"
9,2,0,"X3, X5",,-0.017005813178699425,60.870285287115834,62.370285287115834,63.857482107777805,"X3: 1.04, X5: 1.04","X3: 0.229327, X5: 0.918217"
10,2,0,"X4, X5",,-0.057049386068114494,61.64265719921118,63.14265719921118,64.62985401987315,"X4: 1.01, X5: 1.01","X4: 0.368916, X5: 0.671423"
11,3,2,"X1, X2, X3","X1, X2",0.8245010270307465,26.51809442724595,29.184761093912616,30.50102352146191,"X1: 1.16, X2: 1.03, X3: 1.15","X1: 0.000048, X2: 0.000008, X3: 0.792269"
12,3,3,"X1, X2, X4","X1, X2, X4",0.8661992438321966,21.09246659314111,23.75913325980778,25.075395687357073,"X1: 1.03, X2: 1.03, X4: 1.00","X1: 0.000004, X2: 0.000002, X4: 0.038573"
13,3,2,"X1, X2, X5","X1, X2",0.8267084338897485,26.26494119245382,28.931607859120486,30.24787028666978,"X1: 1.19, X2: 1.13, X5: 1.23","X1: 0.000061, X2: 0.000009, X5: 0.606252"
14,3,1,"X1, X3, X4",X1,0.42310214653582756,50.31873501891067,52.98540168557734,54.301664113126634,"X1: 1.16, X3: 1.19, X4: 1.04","X1: 0.002267, X3: 0.927155, X4: 0.226629"
15,3,1,"X1, X3, X5",X1,0.3923350610847183,51.357903465037964,54.02457013170463,55.340832559253926,"X1: 1.24, X3: 1.16, X5: 1.12","X1: 0.002789, X3: 0.682360, X5: 0.418037"
16,3,1,"X1, X4, X5",X1,0.44081331394027257,49.695098244612865,52.36176491127953,53.67802733882883,"X1: 1.11, X4: 1.01, X5: 1.12","X1: 0.000996, X4: 0.227378, X5: 0.483050"
17,3,1,"X2, X3, X4",X2,0.5128482647177599,46.93694352952555,49.603610196192214,50.91987262374151,"X2: 1.01, X3: 1.04, X4: 1.03","X2: 0.000546, X3: 0.238072, X4: 0.418629"
18,3,1,"X2, X3, X5",X2,0.5463795535846865,45.51064715539408,48.177313822060746,49.493576249610044,"X2: 1.09, X3: 1.07, X5: 1.12","X2: 0.000240, X3: 0.295760, X5: 0.184553"
19,3,1,"X2, X4, X5",X2,0.5561953381702056,45.073120905844235,47.7397875725109,49.056050000060196,"X2: 1.06, X4: 1.01, X5: 1.07","X2: 0.000145, X4: 0.231337, X5: 0.092045"
20,3,0,"X3, X4, X5",,-0.0487465245959251,62.27244948845529,64.93911615512195,66.25537858267126,"X3: 1.08, X4: 1.05, X5: 1.06","X3: 0.302610, X4: 0.495946, X5: 0.850402"
21,4,3,"X1, X2, X3, X4","X1, X2, X4",0.8574456757714414,23.069123181626743,27.354837467341028,28.047784549396695,"X1: 1.18, X2: 1.03, X3: 1.19, X4: 1.04","X1: 0.000014, X2: 0.000004, X3: 0.896463, X4: 0.046707"
22,4,2,"X1, X2, X3, X5","X1, X2",0.8156626568250979,28.21000950379672,32.495723789511004,33.18867087156667,"X1: 1.30, X2: 1.14, X3: 1.16, X5: 1.24","X1: 0.000179, X2: 0.000019, X3: 0.841775, X5: 0.636383"
23,4,3,"X1, X2, X4, X5","X1, X2, X4",0.8624402858304194,22.35582234129795,26.641536627012236,27.334483709067904,"X1: 1.19, X2: 1.13, X4: 1.01, X5: 1.23","X1: 0.000022, X2: 0.000004, X4: 0.038331, X5: 0.464746"
24,4,1,"X1, X3, X4, X5",X1,0.4047043310322177,51.655824282367334,55.94153856808162,56.634485650137286,"X1: 1.24, X3: 1.21, X4: 1.05, X5: 1.14","X1: 0.002462, X3: 0.865960, X4: 0.266429, X5: 0.487996"
25,4,1,"X2, X3, X4, X5",X2,0.5488196695230825,46.112002295908574,50.39771658162286,51.09066366367853,"X2: 1.09, X3: 1.11, X4: 1.05, X5: 1.13","X2: 0.000279, X3: 0.403686, X4: 0.313750, X5: 0.152194"
26,5,3,"X1, X2, X3, X4, X5","X1, X2, X4",0.853167304028563,24.280679077161324,30.742217538699784,30.25507271848527,"X1: 1.30, X2: 1.14, X3: 1.22, X4: 1.05, X5: 1.26","X1: 0.000058, X2: 0.000008, X3: 0.821751, X4: 0.045267, X5: 0.465504"
